# This is an auxiliary file not to be used by the user of ZEBRA
# failed chi2 numFilterUsed
0 4.32362 5
0 9.55453 5
0 1.07501 5
0 2.76016 5
0 2.48487 5
0 58.578 5
0 2.98122 5
0 1.8693 5
0 0.721673 5
0 0.0397232 5
0 7.49993 5
0 0.168985 5
0 0.864627 5
0 2.63799 5
0 0.321225 5
0 0.824286 5
0 4.84117 5
0 2.70524 5
0 3.65685 5
0 4.6075 5
0 30.3705 5
0 5.4345 5
0 4.24911 5
0 0.849662 5
0 0.984639 5
0 13.8661 5
0 6.97388 5
0 3.74517 5
0 4.40406 5
0 2.20112 5
0 3.51636 5
0 4.67357 5
0 31.874 5
0 3.91359 5
0 0.125404 5
0 1.38899 5
0 1.91935 5
0 4.78282 5
0 1.47933 5
0 17.0552 5
0 19.4032 5
0 12.349 5
0 5.69806 5
0 9.83808 5
0 0.785158 5
0 3.59354 5
0 11.5554 5
0 3.19305 5
0 13.19 5
0 3.53982 5
0 7.34712 5
0 1.15147 5
0 2.96023 5
0 14.2605 5
0 2.35439 5
0 0.213554 5
0 2.79302 5
0 1.04329 5
0 4.62758 5
0 2.51649 5
0 16.4482 5
0 3.46949 5
0 7.77415 5
0 3.81149 5
0 0.71917 5
0 0.773193 5
0 0.277953 5
0 1.58645 5
0 0.758914 5
0 0.0703148 5
0 22.8339 5
0 6.31557 5
0 10.2589 5
0 1.74654 5
0 43.9493 5
0 4.26874 5
0 10.2637 5
0 0.413875 5
0 2.78065 5
0 19.4616 5
0 2.22793 5
0 7.38408 5
0 4.55703 5
0 0.448914 5
0 0.638364 5
0 1.36078 5
0 0.445463 5
0 0.859744 5
0 0.667501 5
0 1.06187 5
0 7.21362 5
0 3.75142 5
0 4.72466 5
0 25.4943 5
0 2.07279 5
0 10.1656 5
0 0.274291 5
0 1.85535 5
0 10.8309 5
0 5.83111 5
0 14.3258 5
0 2.38737 5
0 2.35313 5
0 0.937335 5
0 13.5471 5
0 2.58182 5
0 31.8174 5
0 18.8692 5
0 2.12847 5
0 10.4295 5
0 2.69485 5
0 0.4379 5
0 7.16556 5
0 1.36252 5
0 10.2329 5
0 13.7898 5
0 4.91376 5
